,Comment Head,Rating,Review,Name,Date
230,Good phone with great battery life,4,"Overall I am very happy with the purchase.Pros:Camera - 64MP pictures captures lot of detail, slow motion video recording is also very good - can record at different speeds, using it at highest speed is tricky as it only records last few seconds at that speed.Screen display - color and brightness is goodBattery + Quick charge, 8GB RAM is awesomeStorage of 128 GB sufficient for me, did not have to put memory cardGot update for Andriod :)Cons:MIUI - My first phone with MIUI - I don't quite like it, had to customize a lot to reduce clutter on screen.Too many bundled apps which you cannot get rid of.",Janardhan, 26 June 2020
231,Go with caution,4,"Initial review: Very good phone in this range. Amazing camera zooming. Cons is like you can not zoom while you are taking picture in 64 MP mode. Also, video is not allowed in 64 MP.Charger is not very high quality as we see now in this range of other phones. I will give 4.5out of 5.After 4 months use review : phone battery sometimes drains like anything and in max 6 hours it turns to zero from hundred. But sometimes it will run for 1.5 days as well. Not more than that. You have to mandatorily give permissions to all MI apps specially MI Browser otherwise your phone will always be very hot and battery will drain like rain. Sometimes it gets hanged also and taken almost 30 seconds to resume. Changing my 5 start rating to 4 star.Thanks",Alok Mishra, 4 March 2020
232,Nice,4,Good,Amazon Customer, 13 December 2021
233,"Good phone only , but twice volume button issues.... replaced twice",4,"Good phone only , but twice volume button issues.... replaced twice",Prasanna Venkatesh, 27 November 2021
234,aankh band krke ye phone purchase kr skte ho...,5,mei continuously 6 hours daily pubg khrlta hu owesome performance and battery backup bilkul bhi heat nhi hota mei soch rha tha ki ye jyada heat hota hoga jaisa mostly youtubers bata rhe hei but order krne ke baad se hi pubg play krte waqt mujhe koi heating issue nhi mila ab samajh mei aya hei ki wo youtubers realme lovers honge saale biased hei saare ke saare i am very happy with this phone..aur green aur black color mei bhi mujhe confusion thi lekin green ke saath gya really guys green is awesome bahut premium lagta hei...overall....1.good battery life..2.pubg hdr mode mei bhi play kr skte ho aur bilkul bhi lag nhi hota agar aapka internet connection strong hei to..3.very low heating issue..4.good build quality looks premium..5.good camera with slow motion and super slow motion video recording.5.big screen..6.internal screen recording bhi kr skte ho aur agar aap youtuber ho to inbuilt game recording bhi available hei..7.battery bahut jaldi charge hoti hei 10 min. mei lagbhag 20% se 25% tak charge ho jati hei aur iska battery backup kamaal ka hei..8.inbuilt phone recording bhi kr skte ho...koi application download krne ki jarurt nhi hei..overall ye phone is price range mei sabka baap hei aur mujhe ab koi afsos nhi hei kyonki mei realme xt lene wala tha jo ki isse costly tha.....,tarun s., 23 November 2019
235,Good gaming phone.,4,"Really good product for this price range. Battery life is good, gets me through a day. For light users it can last up to 24hrs.Camera needs improvement and bug fix, software processing is really not that good, not as good as Redmi note 7 pro. Sharpness is too high on this phone, has too much noice, it's pretty unusable. Heavy software processing on Manuel camera too. No option for raw capture, all the other phones at this price range has raw capture.This camera has a major fault!!If you don't care that much about camera, then it's a really good phone. A little bugs here and there, it might be fixed with MIUI11.Great as a gaming device.If you want a good camera phone with a decent processor, go for the Redmi note 7 pro or note 8 or realmi XTFor samples on me on telegram @thepicmind",Anandha Krishnan, 19 November 2019
236,Good phone but there are some things which can be improved.,4,"Phone is good for gaming,ping and call of duty both games work really good. You can play both games in high settings.there are some pro's and con's.Pro's1.definetly the processor of the phone mediatek G90t performs very well2.camera is good in day light conditions3.miui skin also works good phone doesn't lag.Con's1.i don't know about others but on my phone I'm faceing streaming quality issues on YouTube voot hotsar display quality is very poor.2.phone get's hot when you play games for 2 or 3 hour and also at time of charging3.camera quality at the time of night is very ok ok type. Camera quality also suffers during wide angle shot.In summary it's good for gaming and taking photo in daylight. hope they will fix streaming quality issues in next update.",Chinmay, 10 February 2020
237,Good to buy at this spec and price,4,"Redmi Note 8 Pro offers a 64MP camera and the clarity of the camera is pretty decent, the front camera offers a 20MP selfie camera which is great while taking selfies. The performance of the phone is smooth and for gaming. The experience is also pretty good as there is a liquid cooling technology is used. It had built-in Alexa to control the smart devices which respond instantly. The storage capacity is also large and allows us to extend up to 512GB.Android Pie operating system is equipped for this device. The 4500mAH battery offers a decent backup for the phone. The 3D-curve design is good to hold the phone in hand to operate. Overall the phone is good to buy at this spec and price.",Vivek Techie, 1 June 2020
238,Good,4,Average product quality..But good at this rate,Amazon Customer, 1 December 2021
239,Theek Theek,4,Ok ok,Sanju Sharma, 12 December 2021
240,Worth for Money,4,Battery Life is amazing.It can run Call of Duty Mobile on 60Fps on high Settings. Camera Quality is also good. I can have heat problems if you don't clean cache. It is definitely worth the money,vishavjit s., 8 August 2021
241,Decent phone,4,"I am writing this review after one year of use. The phone is decent at this price. My father use this phone for calling and WhatsApp purpose. He use phones roughly but this phone is durable even after rough uses.The speaker (used for listening the calls) is repaired twice, because can't get proper sound of the caller.The rear camera glass quality is a bit poor, as it got scratches and can't click clear photos.",Harshit Bang, 30 January 2021
242,Good!,4,"After using the note 8 for a week here's my take:Pros1. Display screen is massive2. Battery is more than adequate. After repeated use it is yet to drain in a 24 hour window.3. Hardware is awesome. Response time to sensors, screen input, camera etc are super fast.Cons1. I do not like the MIUI. This is where the Korean's are great at tuning their one ui.2. Vibration in silent mode needs improvement.3. Do not use themes. It made my notification on the lock screen to disappear. Had to reset the phone all over again.4. Speaker is not too loud. It's just OK.5. Wide angle camera is more like a fish lense camera. The subjects on the extreme ends of the shot are bloated up to accommodate them in the frame.Overall at this price you need to be satisfied. I am happy.",LJ , 15 November 2019
243,awesome product,5,"After 1 month of usage, here's my reviewPros:-1) processor is powerful, mediatek helio g90t is faster than Snapdragon 665, 675, 730g... only Snapdragon 8 series is ahead of g90t. App launching time is really fast2)Full hd display is really good. ultra thin bezels give a premium look.3)since it has a gaming processor, GPU is awesome pubg, cod mobile runs at ultra hd butter smooth4) battery life is good enough, even after heavy gaming and continuous usage of facebook, youtube with data connection, lasts almost 1.5 days5)camera has 960 fps slow motion video recording, macro lens, wide angle lens and the 64 mp monster takes ultra high quality images, even after zooming in u can see all tiny details clearly. selfie cam is also nice. photo taken in complete darkness with flash on is not at all grainy6)6gb ram can handle heavy games and multiple apps simultaneously. Heavy games like asphalt9, cod dont relaunch after minimising and launching other apps like fb, youtube, chrome7)phone doesnt heat much while playing heavy games, even after 30 mins of intense gaming, the back of the phone is just mildly warm, but heats more when gaming while chargingCons:-1)screen size(6.53 inch) is big and difficult to use one handed2)some people complain about bloatware and annoying ad notifications, but you can uninstall them",Kiranraj, 29 November 2019
244,Excellent,5,"Excellent build quality considering its price . Looks premium in hand . Fingerprint reader is fast and accurate but the placement could have been better , after using it for some days , it's ok for me.  With 4G network for mobile internet, comes for one full day whereas if I use wifi it last for two days . Camera is amazing considering the price . Both front and back camera takes photos with natural color . Night sight is average . Video has stabilization and retains good dynamic range . Overall paisa vasool . Also software updates are ok so far . Got one major software update 9 to 10 . Waiting for Android 11 . Regarding the ads, if u stop recommendations in all system apps, u will not get single ad. So far i didn't see any ads on my phone .",Basheer Ahamed, 26 October 2020
245,My Redmi Note 8 pro experience of 1 month,4,"Phone performance is good but I'm facing little gestures issue on note 8 pro like phone backled get power off during call and it gets power on only by pressing Power button, it seems like proximity sensor is not working normally. Automatically cleaning cache feature is not working resulting phone is being hanged until cache is not clean manually. Rest of performance is good.. phone camera is better if I compared with other redmi phones but not up to the marks as per it's marketing.Battery performance is also not up to mark as expected, giving less than a day battery backup if I use phone with internet browsing or watching videos online. Overall performance is good but It can be better as phone features are excellent so some issues might be resolved in upcoming MIUI updates.",Vinod K., 27 February 2020
246,best rear camera phone,4,"images good clear and punchy , night mode also very good",Amazon Customer, 17 November 2021
247,Performance Beast. Killer Cameras.,5,"Probably the best phone under 15k or even 20k, it wouldn't be an exaggeration to say that. Yes, it lacks a few things like an AMOLED display, Inbuilt fingerprint Scanner which it's competitors offer, but still this phone beats them when it comes to overall performance, the Mediatek Helio G90T processor is no joke, this thing scored 28-29k on Antutu benchmark, way ahead than the phones offered on even greater budgets. I don't play games, but the overall performance is very fluidic when heavily multitasked. The camera is another plus point, day light shots are phenomenal, low light shots are good, but the tables turn when you install GCAM! Yes, the phone now supports GCAM fully right out of the box. You just need to install it along with a proper configuration file. That's it, go for this your eyes closed. I'm a neophyte when it comes to clicking pictures, but you can do better. So, attaching a few shots, shot with GCAM astrophotography mode.Edit: Love this phone even more, learnt to click pictures in pro mode, and surprisingly I think they are even better than GCAM low light shots; I have added a few more pictures for you to see.",Rangnayaki Kumari, 2 March 2020
248,Great Quality and Great Value phone at this price,5,"This phone is  heaven for all type of mobile user  all feature its have.This phone have Quad camera setup 64MP AI Quad rear camera with portrait, ultra-wide lens, macro lens. & the front camera 20MPExcellent Gaming experience with powerful Helio G90T gaming processor, Game turbo & Liquid cooling technology. I usually play PUBG. ITS works smoothly i really love this phone.The screen size is 6.53-inch. The water drop Dot Notch HDR Display  and 19.5:9 aspect ratio & 2.5D curved glass.The main feature of this phone is that its come with Amazon Alexa built-in: Say “Alexa” to play music, hear the news and etc u can do with Alexa.I bought 6GB RAM,128GB  two another varient also available.  The internal memory expandable up to 512GB.Phone supports Dual 4g standby & dual sim  both nanoAndroid Pie v9 operating system & 2.05GHz MediaTek Helio G90T octa core  high quality processor4500mAH  battery providing talk-time of 41 hours & standby time of 666 hours. 18W fast charger comes with in box Phone comes with 1 year manufacturer warranty for deviceBox includes : Power adapter, USB cable, SIM eject tool, warranty card, user guide and clear soft case",Abhinandan mahajan, 13 November 2019
249,King in 20000 rs mobile 12/11/2019,5,Camera mobile and screen is good than miA2 and mi A3 HDR support is nice. 64 mp camera good present time all mobile company camera compition so not 64 mp but best than samsung m30s and redmi note pro .Looking good  and i advice to all if you want camera mobile than you divide it 4 and you found actual maga pixel 64/4= 16 mp camera 48/4 =12 mp camera it's reality present time compition. 16 mp is actually mp this Mobile i not asked other company like realme is great who also adopted this trick. Realme XT pro also 16 mp actual mp not 64 mp. This is truth . please running mind 64 mp camera in 15000 rs than why requirment DSLR camera .a DSLR 16 mp camera photo is best than mobile 64  mp camera . About this mobile present time this mobile is very attractive and nice looking with good camera and selfi camera also good but at selfi extra contract you found . Overall in this price it mobile is king  in 15000 rs and samsung m30 s vs redmi note 8 pro compare this mobile is winner many point  . And game running very smoothly in this mobile .this  mobile is very fast. And camera not leg problem who is found in redmi note 7 pro.,Amazon Customer, 12 November 2019
250,AUTHENTIC REVIEW - Being a Redmi Note 8 pro user for 4 months,3,"PROS:1. Battery - 5/5 ( battery is really good like a normal user can run without charging for more than 1 day ,it's amazing2. Chipset /processor - 4/5#Helio G90T is amazing,it doesn't usually lag much but it do lag sometimes, not a big deal though.3. Camera - For rear camera 4.5/5For selfie camera 3/5 # if you are selfie lover this phone is not for you and I mean it. Rear camera is excellent with details and clarity but it lags color punchiness. And for selfie ,it's poor with details and colors are simply rubbish.4. Design - 5/5 it's really sleek and thin phone. It comes with a gorilla glass coating at back which is great. I have white phone it looks amazing.5. SOUND - 5/5 Excellent sound with satisfactory clarity.6. Finger scanner - it's blazing fast. Can even detect with slight moisture in fingers.CONS 1. Color display - IPS LCD display is a major drawback for this phone. Personally I'm a Netflix binge watcher so I really regret for this display.Better go for amoled display phones.( Vivo S1 pro  is good) This is so far the only problem I've faced .If you are okay with the display and not a selfie freak this phone is for you.",Yadavendra Yadav, 3 July 2020
251,Loved it ♥️,5,"After using 2 weeks i can honestly say that this phone is amazing at this price segment. Some of its pros and cons are....Pros..# The given processor mediatek helio g90 t is an awsm gaming processor more over it gives ur day to life apps a smooth experience.# Charging speed is good.# finally go for its best knowing feature its quad camera, it's really mind blowing some of reviewers r saying that camera quality is not good. I think they r expecting DSLR @15000.But in my opinion it's good camera setup u can go for it. Some of pictures captured by note 8 pro itself  I'm sharing.# Screen is better as compared to other ips display phones there is minor difference between its display and smiled display pannel. Colour pretty good and vibrant.#Colour it's gamma green clr is awsm I fallen love with it.Cons.# Little bit heating issue is there while playing heavy graphic games as pubg cod ...# Alexa feature some times doesn't work properly.#Finger print scanner (I think ) is not mounted at right place.# Camera bump much bigger.# Phone's weight is much heavy.Overall conclusion guys this the best phone at this price segment u can go for it. It's worth of money.",vivek y., 3 December 2019
252,"Good Looks, Performance, Sturdy. A Good performer",4,Review based on a few days of usage. Used by my Dad (75 of age)Colour: Halo WhitePerformance:4/5Battery: 4/5 (1.5 days for his usage)Camera: 4/5 (a little over exposure when unbalanced sunlight; a good macro image)Screen: 5/5The phone look gives a premium feel especially in the Halo White colour. The phone in hand is a good feel and the finger print unlock was easy to access. Screen is crisp and clear. The Camera is very good at the price and good for mobile use. (Haven’t used it elsewhere). The MIUI is an interface I like and no problems there. Comes with MIUI 10 and updates to 11. Waiting for Android 10 update officially.,Niragi Bhonsle, 10 June 2020
253,Good Xiaomi product,4,Its a a good Xiaomi product...best what you can get at this price. Satisfied after 2 years of use,Shivam Gaur, 4 October 2021
254,Super,5,Good,Prasad, 31 March 2022
255,Redmi Note 8 PRO ....a really good phone.,5,"After using for 2 days I am writing this review...1. Gaming phone in a very less price, my friends used to play pubg and they have tested pubg with my mobile and the response is simply whaaooo..with HDR settings, no lag and touch is very responsive.2. Call quality is good...(Both Ear piece and speaker) after update to MIUI 11.03 call quality improved than MIUI 103. Color reproduction good...I am not comparing with other phones but if you watch youtube or movies on hotstar, amazon prime then I have noticed good video quality.4. Game Turbo option is something special for this phone.5. Well managed RAM and no lag till now.6. 18W fast charging, Yes its working.7. Camera quality....awesome both front and rear,  I am sharing some photos which were taken in 64MP.8. Fingerprint and face unlock are very fast....kudos to Xiaomi for such a wonderful technology.9. In box only back cover and Charger with USB C-type cable.10. Speaker audio quality is average compared to the competitors.11. Audio 3.5mm Jack there was an equalizer option you can select the MI enchancer and quality is good.12. Over all a great phone and in price range for those who are looking for 6gb RAM range.",ANNAPURNA, 26 December 2019
256,Excellent Phone in thi Budget,5,"After using 2 months here is my view.Display - 5/5Processor - 5/5Battery - 4/5Connectivity - 5/5Speaker - 4/5Processor Helio G90Tis much better than snapgragon , in fact due to powerful processor there is no lagging opening multiple Apps and camera also. Infact BT range is also extended than Redmi 8 or Redmi 7 pro. All Redmi phones are having heating issues and this also have, to some extent if you run heavy app. Front came is ok but rear camera is very good , even in low light environment in this budget. At least much better performance than Samsung M31. Battery is day long with moderate to heavy use with 4G on always.Overall very satisfied withing this budget, in fact better than Redmi 9 pro in terms of processor. One more thing in this budget no company is offering hands free Alexa build in which is a great feature .. Recently it got Android 10 and after that I am Loving it..",Partha Mohinta, 5 July 2020
257,Excellent smartphone!,5,"01-Hardware related highlighted feature!-Beautiful design with curved edges.-Screen to body ratio according to price is very impressive,bottom of the chin is very low.-Every hardware and sensors are present including (3.5 mm audio jack, IR blaster and big battery with fast charger out of the box.)-There is no major heating issue I face,0-40'C average temperature raised,if you play game in extreme setting otherwise normal temperature,but good things having liquid cooling technology.02-Camera related highlighted features!-Awesome camera quality both rear and front.-Portraits with professional-level bokeh,  Portrait mode with new Depth Control is also available on the TrueDepth camera for rear and selfies, you can control blur level in both real-time and after captured photos in any time.-64 MP camera are good but I think it need to improve because it wouldn't captures details like 64 MP, Macro-Shots are good.03- Software and Gaming experience!-Software is very smooth running on Android based MIUI 10.-High graphic games Pubg and Call of duty  in high setting HDR running very smoothly.03- Touch response is very fast.-Overall all king of mid-range smartphones!04-Cons-01- No OLED display,but IPS screen is very bright in sunlight.02- Raised camera bump so you need to buy a good case, that protect camera bump.",Amarnath Shah, 1 December 2019
258,6 months review,4,"Nice product, it doesn't lags still now works so smoothly but only issue i faced is it heats near camera while playing heavy games for few minutes. Thus it come back to normal, i guess that isn't a big issue so u can go for it. Battery backup is good but it takes almost 2 hours to charge completely. screen is also good it is easily visible under sunlight. But auto brightness doesn't work properly few times. Normally its ok for usage👍",Aswin Anand, 13 December 2020
259,Okayish mobile go for samsung m31 has better features in almost same price,3,After using it for approximately 2 monthsAll i can say is battery life is good goes well for 1½ day w/o chargingcamera is nice works well when clicking pictures outdoors of course that means macro shots come out pretty well but at but when the lights are quite them and when you take pictures in night inside your house they are comparatively not that great and when you open camera for recording video for photos at night u might see some granues dots flikering don't what it but i see itAlso the display is okayish picture quality and all (go for samsung m31 it's display is just wow😍 also better is almost every respect just 500 bucks difference)And even in the gallery when I view my pictures in the grid does vertical stripes appear but when when i open the picture  its clearI don't know what it is  but it bothers meAlso it heats up while charging like any other redmi phoneIt's heavy 200gm and big if you have tiny hand:POverall good but i felt like samsung m31 was good in the same price range with better features and the amoled display 😍 Choose wisely :),aboli, 24 August 2020
260,Is it worth,5,"It's one of the best phone around this range . Doesn't have the camera quality like realme XTBest for gaming Mediatech Helio processor just fantastic. Even though having a Liquid cooling system it have a bit heating issue but not overheating but compared to Pocco F1 it's a bit hot I'm a YouTube content creator. So i use all this phone. If having a bit more budget will suggest to go for Redmi K20 pro Realme X2. Or if looking for a gaming phone go for Asus Rog phone 2. Best tuung is that we are having a Hand free Alexa It's so nice that we can access Alexa by saying ""Alexa"" and Als use Google Assistant at the same time which is not available for any other phone of this range. The only Thing A back draw is its display and the water notch display. It's so tempting that it's just having a led IPS Display. By the way anything can't be perfect. Not that good as Pocco F1 if anyone using Pocco F1 better don't change it. Never go for phone saying 64 MP 108 MP etc because not just Megapixel which matter the picture quality. It has a great photo precision. If it found helpful please follow me and Click of the ""helpful"".",Mini, 5 December 2019
261,Great phone at this price tag.,4,"Although people are creating so much hype about Xiaomi being the best brand in providing great products at low cost, I assure you it is absolutely true.The Camera quality, picture clearity and steadiness in Note 8 Pro is astonishing.The design qality is great.Although, the 18W charger takes some time to charge the phone when you are playing games or using it continuously. But if you leave your phone  for some time you'll surely see the magic.Battery backup is enormus with 4500 mah massive battery.Best part is AI face unlock, finger print reader and night camera mode. They are all brilliantly integrated into this beautiful piece of work.",Anubhav Ingole, 27 May 2020
262,Overall good,4,Like,Amazon Customer, 2 December 2021
263,Performance beast not a camera beast,4,"The 64mp sensor is outstanding but the 16mp normal camera is over sharpening the image in some cases. Portrait mode is awesome but the dedicated night mode is an absolute failure too much noise. The normal mode works better than the night mode. Performance-wise its a beast with awesome battery backup. Normal use will last up to 3 days. For heavy use, it will last a full day. Gaming - no issues it can play almost every high-end games.  MediaTek Helio g90t - Absolute beast, no heating issues. The only problem I found with the Redmi note 8 pro is the imperfection in the image processing. I think this happens only with the Indian variant. It has great hardware. I am hoping that the image processing issues will be fixed with an update...And the gamma green is a very sexy color.",krishnajith, 12 December 2019
264,Very good camera and battery 🌟⭐🌌🏝️,5,I dont generally write reviews but after note 7 pro i wanted to buy something better than that. We all know that note 7 pro made a landmark name in this year for its camera performance but not 8 pro is few more steps ahead than that. There nis nothing that you can't do with this phone.1. All Modes tested on camera 5🌟2: you can use this phone in 50% battery for whole day trust me it's true so another 5🌟 for the battery performance(unlike samsung which starts giving issues with battery).3. I am not a gamer but whatever game i played on this phone i never phased lag or heating issues so Gaming is good too4. Display is better than Samsung. I have used Samsung sony iphone flagships but after a while all display fade away ans gives trouble to your eyes if you keep looking at them for  long time specially when a person like me who has migrane . I could use this phone without any eye strain etc. I loved the display.There are some issues as well.1. IT IS HEAVY AND BIG.2. NOT FOR SMALL HAND PEOPLE.3. HANDS GET TIRED.4. CAMERA BUMPER TOUCHES THE SURFACE.5. Takes time to charge. (because it has 4500mah battery),Rajiv kumar , 17 November 2019
265,Awesome value for money.,5,"one of the best mobile under this price. This phone is awesome. I have 5 start. to light weight, great feature, photo quality with ultra wide angel, micro & 64 megapixel is awesome. I so lucky I got this phone on First sale with 10% discount. After using more than 3 weeks, I didn't find any issue. Battery backup is awesome, I usually charge only one time in day. after heavy use of internet, gaming like PUBG, call of duty, videos and watching online movies, still Battery backup good. Liquid cooling technology is good, after playing PUBG continually more than 2 hours, mobile little bit heat. but just rest of 3 or  5 minute, mobile get cool. Overall this phone is awesome which give separate nano sim support means we can insert two sim in different slot.",Mohsin Bhatti, 6 November 2019
266,Definitely the best camera phone in the segment,5,"Things I love about it:The CAMERA IS REALLY CAPABLE, compared some shots with Galaxy S10e and my Reno 10x Zoom, I can tell in normal day light situations differences are minor, in low light condition it also does an excellent job, dynamic range is good but not great, macro images I have taken are amazing to look at, ultra-wide camera is okay. Considering the price it is really the best camera smartphone around 15k.Recorded Videos with main are also good, it has EIS which does a fine job of stabilizing.Reliable 2 day battery life for me as I don't play games too often.Mediatek G90T does a great job of handling day-to-day apps.Pubg mobile is running smooth with HDR+ultra frame rate.Things I like:Premium looking design, bought the Halo white color, gorilla glass on both sides.It is splash proof which is better than having no ingress protection at all, provides a little peace of mind.New HDR display which is bright enough.Dedicated microSD card slot.Things I don't like:Still no app drawer in the UI, lots of unnecessary apps, unwanted ads, confusing settings menu.While competitors have super Amoled it has an LCD screen.Faced a little bit heating while playing games, though it is not that much compared to previous phones.",Anindya Sundar, 11 November 2019
267,Satisfied by the Purchase.,4,"If you're looking out for a Budget phone,This phone is a great choice. If you're looking out for better performance in Pubg Mobile gameplay then go for it, Note 8 pro is far better than Redmi Note 9 pro in terms of gaming. You can google the comparison of Helio G90t and Snapdragon 730G.Charging Speed is pretty decent and battery backup too. with normal usage it lasts a whole day.Only cons I would consider that it's display is pretty average not so vibrant colours and sometimes MiUi behaves strangely.",Aadesh, 1 November 2020
268,Nice product,4,But finger Reading not good. Battry performance was not satisfiedCamera quality good,Rajarajan A, 5 November 2021
269,Value for money in specifications and need some software improvement,4,"After few days of usage. As for this price segment this device is value for money with better specificationsI noticed this points1.The build quality for this price is amazing. Better scratch water smutch proof2. 6.5 inch Display is nice,huge and except our blacks on amoled3. Storage of 6 + 128 for 15000 is worthy for money with ufs 2.14) battery optimization need to be improved but lasts for a day and charging is fast5.performance of mediatek is wonderful handles all games and multitasks, but need some optimization improvements in camera and battery usage6. I didn't feel no lags, little bit heating but liquid cooling performed ok7. Sensors jobs are amazing8. Redmi needs to optimize their software better in camera,dashboard please.. Share as you can",Selva Raja, 26 January 2020
270,#For Budget Gamers & for Photography,5,"Overall a very good smartphone in the range of ₹15999 price. I am writing this review after usage of 1 month. So, it is a personal review.Camera quality:Macro Lens +HDR = 4/5Wide Angle Lens +HDR = 4.5/5Main Camera + HDR = 4.8/5And Front Camera = 4/5And here is gaming review:Overall a good smartphone for budget gamer's.It Plays PUBG at HD+ 60FPSAnd the best thing is that It supports Grid Autosport ™ the best racing game with console quality graphics.And it Plays all the games with High graphics.Battery : It has 4500mAh battery and it's power management is very good. After 100% Charge it can provide 2 days battery backup with decent usage and phone comes with 2A Fast Charger.Display: This device support 1080×2340Display Resolution and 6.53.inch HD display. But Display could be better.Fingerprint Reader is quick fast.Storage : This phone comes with 3 storage varients . It depends on your storage necessity.Heating Isuue: Phone become a little bit hot while playing games at Very High Graphics.Perhaps, there is no major heating issue",Narender Singh, 21 February 2020
271,Good battery,4,I'm using from more than 18 months no battery issue raised till now. I'm changing once a day few days twice. Fast and smooth for games.Highly satisfied with this mobile.,Gopi nadh, 21 July 2021
272,Read my review,4,"Phone is good and interface was same like before and after getting mobile I got an security update also and camera is not that much as expected mainly front camera is not that good for selfiesBattery was good it gave me almost one and half day from 100 to 25%Screen resolution is picture clear and Alexa is very better in this we can talk even when phone is locked tooMain problem with this mobile is it's processor it's a mediatek processor ,it's a cheap processor which doesn't give good life for phone and updating regularly may also differentiate this phone processorAnd sound quality was also not that good for music and for calls it's good and my boat ear phones are not clearly working for this connector as it is also 3.5 mm Jack connector",Padma Priya, 14 November 2019
273,Out of order within 6 months,4,This product I purchased in Nov-2019. Initially it was OK but after wards again and again rebooting was required. Once unfortunately it was got dropped in wet area and after some time stopped working and getting heated up. I contacted service centre on 25.05.20 for repair under warrant. I was told that there was moisture ingress and total expenditure will be approx Rs+9000 nine thousand and this is not covered in warranty. I told not to repair at this cost as  repair was approx 60% of the latest price. I really surprised why not covered under warranty..Any way I can say the sealing is not proper as moisture has intered inside....please suggest what to do....,rsyadava, 26 May 2020
274,4.5 out of 5 Go for it at 15000 budget,5,"Amazing phone at the budget of ₹15000Pros- You get a good battery backup of 24hour+ (if you don't play game and use mobile for normal usage and internet)- Phone does not lag while you play game- Superb Video quality- Design is very beautiful (gamma green)- Camera Quality is just wow with 64 mp camera plus you get lot of other camera features and good photo quality even in low light.- Finger print scanner response is very quick- Quick Charge- You can insert SD card as well as 2 sims- No heating problem felt even while playing game for an hourCons- Alexa does not respond quickly. Instead Google assistant is amazing- Screen size is big so using with one hand will be a problem- Phone is 200g so i will feel heavy if you hold the phone with one hand and watch video.- Low light and zoomed clicked photo is not good- Pre installed useless MI apps keeps poping up ads. Well you can disable that.Overall, I loved this phone at the price. Camera is amazing in day light. Quick charge solves my problem and a good design.Was never been Xiaomi customer before but now recommend it.",Rajnish, 26 November 2019
275,Nice phone,5,"I'm using this phone for 1 year. Everything is fine. but, camera at night times it performs worst, And fingerprint is not working properly most of the times.",Reshi, 9 February 2022
276,Best phone in this range,5,Best mid range phone. The only cons is sometimes fingerprint scanner not detect finger.,Jaydeep Katharotiya, 7 March 2022
277,Great product from Mi,5,"I've been using Redmi Note 3 Pro for the last 4 years. Its a great device and is still working fine till date. That is the reason why I have chosen to stay with the brand for even more years to come.After doing some comparisons, I've decided to go with Redmi Note 8 Pro. Its been three days and it's working really good.I will give a detailed review of the phone after one month of usage.Note: The first delivered device had a quality issue. I've examined a light bleed on the LCD panel near the power button area, approximately 5mm from the edge of the screen. I didn't knew how that defect happened. Didn't observe it on the first day. There was no visible damage on the glass as well. I immediately ordered for a replacement and recieved it in good condition. I hope this time it will workout fine.",Krishna Teja, 21 July 2020
278,Probably best when it was launched in 2019.,5,Overall its a good budget phone,Ganesh, 20 March 2022
279,Best And Beast Phone In The Price Range,5,I I'm using The Phone Form Last 1 Year And The Mobile Quality Is Very Good The Performance The Camera And Also The Sound Quality All Are Best. The Phone Beats The Other Smartphone In This Price Range. Best For Playing Pubg And Other High Graphics Game And The Camera Is Very Superb The 64mp Option Is Very Beast The Clarity And Video Quality Is Very Good And The Built Quality Is Also Very Good And Strong,AKSHAY GHEGADMAL, 23 July 2021
280,Performance Beast with few tweaks required,4,"What I dont like:1) No finger print camera shutter (Very disappointing).  I see a lot of people complaining the same in their MI community however, not a single comment from Xiaomi regarding the update. I feel like I just downgraded myself from Realme 3 pro.2) Alexa doesnt work properly. Alexa is the main reason I bought this mobile.3) Ads in os (annoying).4) Charging takes longer time compared to VOOC chargers.5) Battery drains very fast eventhough it has big battery capacity 4300mah.6) Inbuilt steps counter should have been added as  Other mobile brands are providing them. But its not a big deal. .What I like:1) Stunning display2) Camera is good.3) IR blaster works fine (One more reason why I bought this phone)4) No lags in performance. Very satisfied.",Vishnu2060, 26 November 2019
281,Pure review,4,"Redmi note 8pro reviewPros and cons1 alexa built in2 camera ok, but1080 60fps record superb no  shake, depth effect super, 4k video nt good  Front camera nt OK Slow motion video record 120,240,960 fps3 battery back up moderate use 1.5 day  Heavy use 1 day 4.  Charging time 2 hrs 5.  Phone feel heavy6. Back side is glass back please use with back case7. All type of game can be run 8. Processor is speed9. Good voice quality10. Fingerprint read some time you should place correctly11. Loud speaker OK nt heavy loud12. No amoled displayOverall good phone at these prise bracketI'll give rating 10 out of 8",bhargav, 23 January 2020
282,Best Smartphone under 20k,5,"I have been using this phone for past one year ,I will rate it out of 5 starAsthetics- 5Finger print sensor-5Gamming -5Mic quality -4.5Camera- 3.5Battery life -4.5These are my ratings ,other than this  there is no heating issue I had faced in it, while paying high graphics mobile gamming such as pubgy slight heat comes nearby camera region but its common for every phones so need not bother it.Its apperance and design is excellent ,no much  delay in fingerprint sensors, battery life good enough to use it for 24 hours,camera is better but if your a photo freak it's not so good. They are saying it is 64 mega pixel but I feel it same  as 16 mega pixel. Device works properly not hangging issues.",suresh, 9 October 2020
